name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий;Версия ПО (опросник);Статус
@angular-architects/module-federation;22.0.0;22.0.0;https://registry.npmjs.org/@angular-architects/module-federation/-/module-federation-22.0.0.tgz;npm install @angular-architects/module-federation@22.0.0;direct;;;не найден в опроснике
@angular-architects/native-federation;22.1.2;22.1.2;https://registry.npmjs.org/@angular-architects/native-federation/-/native-federation-22.1.2.tgz;npm install @angular-architects/native-federation@22.1.2;direct;;;не найден в опроснике
@angular-builders/jest;22.0.1;22.0.1;https://registry.npmjs.org/@angular-builders/jest/-/jest-22.0.1.tgz;npm install @angular-builders/jest@22.0.1;direct;;;не найден в опроснике
@angular/animations;22.1.6;22.1.6;https://registry.npmjs.org/@angular/animations/-/animations-22.1.6.tgz;npm install @angular/animations@22.1.6;direct;;22.1.4;версия не совпадает
@angular/build;22.1.8;22.1.8;https://registry.npmjs.org/@angular/build/-/build-22.1.8.tgz;npm install @angular/build@22.1.8;direct;;;не найден в опроснике
@angular/cdk;22.1.6;22.1.6;https://registry.npmjs.org/@angular/cdk/-/cdk-22.1.6.tgz;npm install @angular/cdk@22.1.6;direct;;22.1.4;версия не совпадает
@angular/cli;22.1.8;22.1.8;https://registry.npmjs.org/@angular/cli/-/cli-22.1.8.tgz;npm install @angular/cli@22.1.8;direct;;22.1.6;версия не совпадает
@angular/common;22.1.6;22.1.6;https://registry.npmjs.org/@angular/common/-/common-22.1.6.tgz;npm install @angular/common@22.1.6;direct;;22.1.4;версия не совпадает
@angular/compiler;22.1.6;22.1.6;https://registry.npmjs.org/@angular/compiler/-/compiler-22.1.6.tgz;npm install @angular/compiler@22.1.6;direct;;22.1.4;версия не совпадает
@angular/compiler-cli;22.1.6;22.1.6;https://registry.npmjs.org/@angular/compiler-cli/-/compiler-cli-22.1.6.tgz;npm install @angular/compiler-cli@22.1.6;direct;;22.1.4;версия не совпадает
@angular/core;22.1.6;22.1.6;https://registry.npmjs.org/@angular/core/-/core-22.1.6.tgz;npm install @angular/core@22.1.6;direct;;22.1.4;версия не совпадает
@angular/forms;22.1.6;22.1.6;https://registry.npmjs.org/@angular/forms/-/forms-22.1.6.tgz;npm install @angular/forms@22.1.6;direct;;22.1.4;версия не совпадает
@angular/localize;22.1.6;22.1.6;https://registry.npmjs.org/@angular/localize/-/localize-22.1.6.tgz;npm install @angular/localize@22.1.6;direct;;22.1.4;версия не совпадает
@angular/material;22.1.6;22.1.6;https://registry.npmjs.org/@angular/material/-/material-22.1.6.tgz;npm install @angular/material@22.1.6;direct;;22.1.4;версия не совпадает
@angular/platform-browser;22.1.6;22.1.6;https://registry.npmjs.org/@angular/platform-browser/-/platform-browser-22.1.6.tgz;npm install @angular/platform-browser@22.1.6;direct;;22.1.4;версия не совпадает
@angular/platform-browser-dynamic;22.1.6;22.1.6;https://registry.npmjs.org/@angular/platform-browser-dynamic/-/platform-browser-dynamic-22.1.6.tgz;npm install @angular/platform-browser-dynamic@22.1.6;direct;;22.1.4;версия не совпадает
@angular/router;22.1.6;22.1.6;https://registry.npmjs.org/@angular/router/-/router-22.1.6.tgz;npm install @angular/router@22.1.6;direct;;22.1.4;версия не совпадает
@softarc/native-federation-node;3.5.6;3.5.6;https://registry.npmjs.org/@softarc/native-federation-node/-/native-federation-node-3.5.6.tgz;npm install @softarc/native-federation-node@3.5.6;direct;;;не найден в опроснике
angular-eslint;22.5.0;22.5.0;https://registry.npmjs.org/angular-eslint/-/angular-eslint-22.5.0.tgz;npm install angular-eslint@22.5.0;direct;;;не найден в опроснике
es-module-shims;2.8.4;2.8.4;https://registry.npmjs.org/es-module-shims/-/es-module-shims-2.8.4.tgz;npm install es-module-shims@2.8.4;direct;;;не найден в опроснике
eslint;10.10.0;10.10.0;https://registry.npmjs.org/eslint/-/eslint-10.10.0.tgz;npm install eslint@10.10.0;direct;;10.9.1;версия не совпадает
typescript;6.0.3;6.0.3;https://registry.npmjs.org/typescript/-/typescript-6.0.3.tgz;npm install typescript@6.0.3;direct;;7.0.2;версия не совпадает
typescript-eslint;8.70.0;8.70.0;https://registry.npmjs.org/typescript-eslint/-/typescript-eslint-8.70.0.tgz;npm install typescript-eslint@8.70.0;direct;;;не найден в опроснике
zone.js;0.16.3;0.16.3;https://registry.npmjs.org/zone.js/-/zone.js-0.16.3.tgz;npm install zone.js@0.16.3;direct;;0.16.2;версия не совпадает
@angular-architects/module-federation-runtime;22.0.0;22.0.0;https://registry.npmjs.org/@angular-architects/module-federation-runtime/-/module-federation-runtime-22.0.0.tgz;npm install @angular-architects/module-federation-runtime@22.0.0;@angular-architects/module-federation;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@angular-builders/common;6.0.1;6.0.1;https://registry.npmjs.org/@angular-builders/common/-/common-6.0.1.tgz;npm install @angular-builders/common@6.0.1;@angular-builders/jest;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@angular-devkit/architect;0.2201.8;0.2201.8;https://registry.npmjs.org/@angular-devkit/architect/-/architect-0.2201.8.tgz;npm install @angular-devkit/architect@0.2201.8;@angular-architects/native-federation, @angular-builders/jest, @angular-devkit/build-angular, @angular-devkit/build-webpack, @angular-eslint/builder, @angular/build, @angular/cli;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;0.2201.6;версия не совпадает
@angular-devkit/build-angular;22.1.8;22.1.8;https://registry.npmjs.org/@angular-devkit/build-angular/-/build-angular-22.1.8.tgz;npm install @angular-devkit/build-angular@22.1.8;transitive (не определено по lockfile);Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.1.6;версия не совпадает
@angular-devkit/build-webpack;0.2201.8;0.2201.8;https://registry.npmjs.org/@angular-devkit/build-webpack/-/build-webpack-0.2201.8.tgz;npm install @angular-devkit/build-webpack@0.2201.8;@angular-devkit/build-angular;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;0.2201.6;версия не совпадает
@angular-devkit/core;22.1.8;22.1.8;https://registry.npmjs.org/@angular-devkit/core/-/core-22.1.8.tgz;npm install @angular-devkit/core@22.1.8;@angular-architects/native-federation, @angular-builders/common, @angular-builders/jest, @angular-devkit/architect, @angular-devkit/build-angular, @angular-devkit/schematics, @angular-eslint/builder, @angular-eslint/schematics, @angular/cli, @schematics/angular, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.1.6;версия не совпадает
@angular-devkit/schematics;22.1.8;22.1.8;https://registry.npmjs.org/@angular-devkit/schematics/-/schematics-22.1.8.tgz;npm install @angular-devkit/schematics@22.1.8;@angular-architects/native-federation, @angular-builders/common, @angular-builders/jest, @angular-eslint/schematics, @angular/cli, @schematics/angular, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.1.6;версия не совпадает
@angular-eslint/builder;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/builder/-/builder-22.5.0.tgz;npm install @angular-eslint/builder@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.2.0;версия не совпадает
@angular-eslint/bundled-angular-compiler;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/bundled-angular-compiler/-/bundled-angular-compiler-22.5.0.tgz;npm install @angular-eslint/bundled-angular-compiler@22.5.0;@angular-eslint/eslint-plugin, @angular-eslint/eslint-plugin-template, @angular-eslint/template-parser, @angular-eslint/utils;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.2.0;версия не совпадает
@angular-eslint/eslint-plugin;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/eslint-plugin/-/eslint-plugin-22.5.0.tgz;npm install @angular-eslint/eslint-plugin@22.5.0;@angular-eslint/schematics, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.2.0;версия не совпадает
@angular-eslint/eslint-plugin-template;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/eslint-plugin-template/-/eslint-plugin-template-22.5.0.tgz;npm install @angular-eslint/eslint-plugin-template@22.5.0;@angular-eslint/schematics, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.2.0;версия не совпадает
