name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий
@angular-architects/module-federation;22.0.0;22.0.0;https://registry.npmjs.org/@angular-architects/module-federation/-/module-federation-22.0.0.tgz;npm install @angular-architects/module-federation@22.0.0;direct;
@angular-architects/native-federation;22.1.2;22.1.2;https://registry.npmjs.org/@angular-architects/native-federation/-/native-federation-22.1.2.tgz;npm install @angular-architects/native-federation@22.1.2;direct;
@angular-builders/jest;22.0.1;22.0.1;https://registry.npmjs.org/@angular-builders/jest/-/jest-22.0.1.tgz;npm install @angular-builders/jest@22.0.1;direct;
@angular/animations;22.1.6;22.1.6;https://registry.npmjs.org/@angular/animations/-/animations-22.1.6.tgz;npm install @angular/animations@22.1.6;direct;
@angular/build;22.1.8;22.1.8;https://registry.npmjs.org/@angular/build/-/build-22.1.8.tgz;npm install @angular/build@22.1.8;direct;
@angular/cdk;22.1.6;22.1.6;https://registry.npmjs.org/@angular/cdk/-/cdk-22.1.6.tgz;npm install @angular/cdk@22.1.6;direct;
@angular/cli;22.1.8;22.1.8;https://registry.npmjs.org/@angular/cli/-/cli-22.1.8.tgz;npm install @angular/cli@22.1.8;direct;
@angular/common;22.1.6;22.1.6;https://registry.npmjs.org/@angular/common/-/common-22.1.6.tgz;npm install @angular/common@22.1.6;direct;
@angular/compiler;22.1.6;22.1.6;https://registry.npmjs.org/@angular/compiler/-/compiler-22.1.6.tgz;npm install @angular/compiler@22.1.6;direct;
@angular/compiler-cli;22.1.6;22.1.6;https://registry.npmjs.org/@angular/compiler-cli/-/compiler-cli-22.1.6.tgz;npm install @angular/compiler-cli@22.1.6;direct;
@angular/core;22.1.6;22.1.6;https://registry.npmjs.org/@angular/core/-/core-22.1.6.tgz;npm install @angular/core@22.1.6;direct;
@angular/forms;22.1.6;22.1.6;https://registry.npmjs.org/@angular/forms/-/forms-22.1.6.tgz;npm install @angular/forms@22.1.6;direct;
@angular/localize;22.1.6;22.1.6;https://registry.npmjs.org/@angular/localize/-/localize-22.1.6.tgz;npm install @angular/localize@22.1.6;direct;
@angular/material;22.1.6;22.1.6;https://registry.npmjs.org/@angular/material/-/material-22.1.6.tgz;npm install @angular/material@22.1.6;direct;
@angular/platform-browser;22.1.6;22.1.6;https://registry.npmjs.org/@angular/platform-browser/-/platform-browser-22.1.6.tgz;npm install @angular/platform-browser@22.1.6;direct;
@angular/platform-browser-dynamic;22.1.6;22.1.6;https://registry.npmjs.org/@angular/platform-browser-dynamic/-/platform-browser-dynamic-22.1.6.tgz;npm install @angular/platform-browser-dynamic@22.1.6;direct;
@angular/router;22.1.6;22.1.6;https://registry.npmjs.org/@angular/router/-/router-22.1.6.tgz;npm install @angular/router@22.1.6;direct;
@eslint/js;10.0.1;10.0.1;https://registry.npmjs.org/@eslint/js/-/js-10.0.1.tgz;npm install @eslint/js@10.0.1;direct;
@softarc/native-federation-node;3.5.6;3.5.6;https://registry.npmjs.org/@softarc/native-federation-node/-/native-federation-node-3.5.6.tgz;npm install @softarc/native-federation-node@3.5.6;direct;
@types/jest;30.0.0;30.0.0;https://registry.npmjs.org/@types/jest/-/jest-30.0.0.tgz;npm install @types/jest@30.0.0;direct;
angular-eslint;22.5.0;22.5.0;https://registry.npmjs.org/angular-eslint/-/angular-eslint-22.5.0.tgz;npm install angular-eslint@22.5.0;direct;
es-module-shims;2.8.4;2.8.4;https://registry.npmjs.org/es-module-shims/-/es-module-shims-2.8.4.tgz;npm install es-module-shims@2.8.4;direct;
eslint;10.10.0;10.10.0;https://registry.npmjs.org/eslint/-/eslint-10.10.0.tgz;npm install eslint@10.10.0;direct;
eslint-config-prettier;10.1.8;10.1.8;https://registry.npmjs.org/eslint-config-prettier/-/eslint-config-prettier-10.1.8.tgz;npm install eslint-config-prettier@10.1.8;direct;
jest;30.5.1;30.5.1;https://registry.npmjs.org/jest/-/jest-30.5.1.tgz;npm install jest@30.5.1;direct;
jest-environment-jsdom;30.5.1;30.5.1;https://registry.npmjs.org/jest-environment-jsdom/-/jest-environment-jsdom-30.5.1.tgz;npm install jest-environment-jsdom@30.5.1;direct;
jest-preset-angular;17.0.0;17.0.0;https://registry.npmjs.org/jest-preset-angular/-/jest-preset-angular-17.0.0.tgz;npm install jest-preset-angular@17.0.0;direct;
prettier;3.9.6;3.9.6;https://registry.npmjs.org/prettier/-/prettier-3.9.6.tgz;npm install prettier@3.9.6;direct;
rxjs;7.8.2;7.8.2;https://registry.npmjs.org/rxjs/-/rxjs-7.8.2.tgz;npm install rxjs@7.8.2;direct;
tslib;2.8.1;2.8.1;https://registry.npmjs.org/tslib/-/tslib-2.8.1.tgz;npm install tslib@2.8.1;direct;
typescript;6.0.3;6.0.3;https://registry.npmjs.org/typescript/-/typescript-6.0.3.tgz;npm install typescript@6.0.3;direct;
typescript-eslint;8.70.0;8.70.0;https://registry.npmjs.org/typescript-eslint/-/typescript-eslint-8.70.0.tgz;npm install typescript-eslint@8.70.0;direct;
zone.js;0.16.3;0.16.3;https://registry.npmjs.org/zone.js/-/zone.js-0.16.3.tgz;npm install zone.js@0.16.3;direct;
@ampproject/remapping;2.3.0;2.3.0;https://registry.npmjs.org/@ampproject/remapping/-/remapping-2.3.0.tgz;npm install @ampproject/remapping@2.3.0;@angular-devkit/build-angular, @angular/build;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-architects/module-federation-runtime;22.0.0;22.0.0;https://registry.npmjs.org/@angular-architects/module-federation-runtime/-/module-federation-runtime-22.0.0.tgz;npm install @angular-architects/module-federation-runtime@22.0.0;@angular-architects/module-federation;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-builders/common;6.0.1;6.0.1;https://registry.npmjs.org/@angular-builders/common/-/common-6.0.1.tgz;npm install @angular-builders/common@6.0.1;@angular-builders/jest;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/architect;0.2201.8;0.2201.8;https://registry.npmjs.org/@angular-devkit/architect/-/architect-0.2201.8.tgz;npm install @angular-devkit/architect@0.2201.8;@angular-architects/native-federation, @angular-builders/jest, @angular-devkit/build-angular, @angular-devkit/build-webpack, @angular-eslint/builder, @angular/build, @angular/cli;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/build-angular;22.1.8;22.1.8;https://registry.npmjs.org/@angular-devkit/build-angular/-/build-angular-22.1.8.tgz;npm install @angular-devkit/build-angular@22.1.8;transitive (не определено по lockfile);Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/build-webpack;0.2201.8;0.2201.8;https://registry.npmjs.org/@angular-devkit/build-webpack/-/build-webpack-0.2201.8.tgz;npm install @angular-devkit/build-webpack@0.2201.8;@angular-devkit/build-angular;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/core;22.1.8;22.1.8;https://registry.npmjs.org/@angular-devkit/core/-/core-22.1.8.tgz;npm install @angular-devkit/core@22.1.8;@angular-architects/native-federation, @angular-builders/common, @angular-builders/jest, @angular-devkit/architect, @angular-devkit/build-angular, @angular-devkit/schematics, @angular-eslint/builder, @angular-eslint/schematics, @angular/cli, @schematics/angular, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/schematics;22.1.8;22.1.8;https://registry.npmjs.org/@angular-devkit/schematics/-/schematics-22.1.8.tgz;npm install @angular-devkit/schematics@22.1.8;@angular-architects/native-federation, @angular-builders/common, @angular-builders/jest, @angular-eslint/schematics, @angular/cli, @schematics/angular, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/builder;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/builder/-/builder-22.5.0.tgz;npm install @angular-eslint/builder@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/bundled-angular-compiler;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/bundled-angular-compiler/-/bundled-angular-compiler-22.5.0.tgz;npm install @angular-eslint/bundled-angular-compiler@22.5.0;@angular-eslint/eslint-plugin, @angular-eslint/eslint-plugin-template, @angular-eslint/template-parser, @angular-eslint/utils;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/eslint-plugin;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/eslint-plugin/-/eslint-plugin-22.5.0.tgz;npm install @angular-eslint/eslint-plugin@22.5.0;@angular-eslint/schematics, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/eslint-plugin-template;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/eslint-plugin-template/-/eslint-plugin-template-22.5.0.tgz;npm install @angular-eslint/eslint-plugin-template@22.5.0;@angular-eslint/schematics, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/schematics;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/schematics/-/schematics-22.5.0.tgz;npm install @angular-eslint/schematics@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/template-parser;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/template-parser/-/template-parser-22.5.0.tgz;npm install @angular-eslint/template-parser@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
