name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий
@angular-architects/module-federation;22.0.0;22.0.0;https://www.npmjs.com/package/%40angular-architects%2Fmodule-federation;npm install @angular-architects/module-federation@22.0.0;direct;
@angular-architects/native-federation;22.1.2;22.1.2;https://www.npmjs.com/package/%40angular-architects%2Fnative-federation;npm install @angular-architects/native-federation@22.1.2;direct;
@angular-builders/jest;22.0.1;22.0.1;https://www.npmjs.com/package/%40angular-builders%2Fjest;npm install @angular-builders/jest@22.0.1;direct;
@angular/animations;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fanimations;npm install @angular/animations@22.1.6;direct;
@angular/build;22.1.8;22.1.8;https://www.npmjs.com/package/%40angular%2Fbuild;npm install @angular/build@22.1.8;direct;
@angular/cdk;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fcdk;npm install @angular/cdk@22.1.6;direct;
@angular/cli;22.1.8;22.1.8;https://www.npmjs.com/package/%40angular%2Fcli;npm install @angular/cli@22.1.8;direct;
@angular/common;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fcommon;npm install @angular/common@22.1.6;direct;
@angular/compiler;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fcompiler;npm install @angular/compiler@22.1.6;direct;
@angular/compiler-cli;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fcompiler-cli;npm install @angular/compiler-cli@22.1.6;direct;
@angular/core;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fcore;npm install @angular/core@22.1.6;direct;
@angular/forms;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fforms;npm install @angular/forms@22.1.6;direct;
@angular/localize;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Flocalize;npm install @angular/localize@22.1.6;direct;
@angular/material;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fmaterial;npm install @angular/material@22.1.6;direct;
@angular/platform-browser;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fplatform-browser;npm install @angular/platform-browser@22.1.6;direct;
@angular/platform-browser-dynamic;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic;npm install @angular/platform-browser-dynamic@22.1.6;direct;
@angular/router;22.1.6;22.1.6;https://www.npmjs.com/package/%40angular%2Frouter;npm install @angular/router@22.1.6;direct;
@eslint/js;10.0.1;10.0.1;https://www.npmjs.com/package/%40eslint%2Fjs;npm install @eslint/js@10.0.1;direct;
@softarc/native-federation-node;3.5.6;3.5.6;https://www.npmjs.com/package/%40softarc%2Fnative-federation-node;npm install @softarc/native-federation-node@3.5.6;direct;
@types/jest;30.0.0;30.0.0;https://www.npmjs.com/package/%40types%2Fjest;npm install @types/jest@30.0.0;direct;
angular-eslint;22.5.0;22.5.0;https://www.npmjs.com/package/angular-eslint;npm install angular-eslint@22.5.0;direct;
es-module-shims;2.8.4;2.8.4;https://www.npmjs.com/package/es-module-shims;npm install es-module-shims@2.8.4;direct;
eslint;10.10.0;10.10.0;https://www.npmjs.com/package/eslint;npm install eslint@10.10.0;direct;
eslint-config-prettier;10.1.8;10.1.8;https://www.npmjs.com/package/eslint-config-prettier;npm install eslint-config-prettier@10.1.8;direct;
jest;30.5.1;30.5.1;https://www.npmjs.com/package/jest;npm install jest@30.5.1;direct;
jest-environment-jsdom;30.5.1;30.5.1;https://www.npmjs.com/package/jest-environment-jsdom;npm install jest-environment-jsdom@30.5.1;direct;
jest-preset-angular;17.0.0;17.0.0;https://www.npmjs.com/package/jest-preset-angular;npm install jest-preset-angular@17.0.0;direct;
prettier;3.9.6;3.9.6;https://www.npmjs.com/package/prettier;npm install prettier@3.9.6;direct;
rxjs;7.8.2;7.8.2;https://www.npmjs.com/package/rxjs;npm install rxjs@7.8.2;direct;
tslib;2.8.1;2.8.1;https://www.npmjs.com/package/tslib;npm install tslib@2.8.1;direct;
typescript;6.0.3;6.0.3;https://www.npmjs.com/package/typescript;npm install typescript@6.0.3;direct;
typescript-eslint;8.70.0;8.70.0;https://www.npmjs.com/package/typescript-eslint;npm install typescript-eslint@8.70.0;direct;
zone.js;0.16.3;0.16.3;https://www.npmjs.com/package/zone.js;npm install zone.js@0.16.3;direct;
@ampproject/remapping;2.3.0;2.3.0;https://www.npmjs.com/package/%40ampproject%2Fremapping;npm install @ampproject/remapping@2.3.0;@angular-devkit/build-angular, @angular/build;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-architects/module-federation-runtime;22.0.0;22.0.0;https://www.npmjs.com/package/%40angular-architects%2Fmodule-federation-runtime;npm install @angular-architects/module-federation-runtime@22.0.0;@angular-architects/module-federation;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-builders/common;6.0.1;6.0.1;https://www.npmjs.com/package/%40angular-builders%2Fcommon;npm install @angular-builders/common@6.0.1;@angular-builders/jest;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/architect;0.2201.8;0.2201.8;https://www.npmjs.com/package/%40angular-devkit%2Farchitect;npm install @angular-devkit/architect@0.2201.8;@angular-architects/native-federation, @angular-builders/jest, @angular-devkit/build-angular, @angular-devkit/build-webpack, @angular-eslint/builder, @angular/build, @angular/cli;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/build-angular;22.1.8;22.1.8;https://www.npmjs.com/package/%40angular-devkit%2Fbuild-angular;npm install @angular-devkit/build-angular@22.1.8;transitive (не определено по lockfile);Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/build-webpack;0.2201.8;0.2201.8;https://www.npmjs.com/package/%40angular-devkit%2Fbuild-webpack;npm install @angular-devkit/build-webpack@0.2201.8;@angular-devkit/build-angular;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/core;22.1.8;22.1.8;https://www.npmjs.com/package/%40angular-devkit%2Fcore;npm install @angular-devkit/core@22.1.8;@angular-architects/native-federation, @angular-builders/common, @angular-builders/jest, @angular-devkit/architect, @angular-devkit/build-angular, @angular-devkit/schematics, @angular-eslint/builder, @angular-eslint/schematics, @angular/cli, @schematics/angular, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-devkit/schematics;22.1.8;22.1.8;https://www.npmjs.com/package/%40angular-devkit%2Fschematics;npm install @angular-devkit/schematics@22.1.8;@angular-architects/native-federation, @angular-builders/common, @angular-builders/jest, @angular-eslint/schematics, @angular/cli, @schematics/angular, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/builder;22.5.0;22.5.0;https://www.npmjs.com/package/%40angular-eslint%2Fbuilder;npm install @angular-eslint/builder@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/bundled-angular-compiler;22.5.0;22.5.0;https://www.npmjs.com/package/%40angular-eslint%2Fbundled-angular-compiler;npm install @angular-eslint/bundled-angular-compiler@22.5.0;@angular-eslint/eslint-plugin, @angular-eslint/eslint-plugin-template, @angular-eslint/template-parser, @angular-eslint/utils;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/eslint-plugin;22.5.0;22.5.0;https://www.npmjs.com/package/%40angular-eslint%2Feslint-plugin;npm install @angular-eslint/eslint-plugin@22.5.0;@angular-eslint/schematics, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/eslint-plugin-template;22.5.0;22.5.0;https://www.npmjs.com/package/%40angular-eslint%2Feslint-plugin-template;npm install @angular-eslint/eslint-plugin-template@22.5.0;@angular-eslint/schematics, angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/schematics;22.5.0;22.5.0;https://www.npmjs.com/package/%40angular-eslint%2Fschematics;npm install @angular-eslint/schematics@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/template-parser;22.5.0;22.5.0;https://www.npmjs.com/package/%40angular-eslint%2Ftemplate-parser;npm install @angular-eslint/template-parser@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@angular-eslint/utils;22.5.0;22.5.0;https://www.npmjs.com/package/%40angular-eslint%2Futils;npm install @angular-eslint/utils@22.5.0;@angular-eslint/eslint-plugin, @angular-eslint/eslint-plugin-template;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@asamuzakjp/css-color;6.0.7;6.0.7;https://www.npmjs.com/package/%40asamuzakjp%2Fcss-color;npm install @asamuzakjp/css-color@6.0.7;cssstyle, jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@asamuzakjp/dom-selector;8.3.2;8.3.2;https://www.npmjs.com/package/%40asamuzakjp%2Fdom-selector;npm install @asamuzakjp/dom-selector@8.3.2;jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/code-frame;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fcode-frame;npm install @babel/code-frame@8.0.0;@babel/core, @babel/template, @babel/traverse, jest-message-util, parse-json;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/compat-data;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fcompat-data;npm install @babel/compat-data@8.0.5;@babel/helper-compilation-targets, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/core;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fcore;npm install @babel/core@8.0.1;@angular-devkit/build-angular, @angular/build, @angular/compiler-cli, @angular/localize, @jest/transform, istanbul-lib-instrument, jest-config, jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/generator;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fgenerator;npm install @babel/generator@8.0.0;@angular-devkit/build-angular, @babel/core, @babel/traverse, jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-annotate-as-pure;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-annotate-as-pure;npm install @babel/helper-annotate-as-pure@8.0.0;@angular-devkit/build-angular, @angular/build, @babel/helper-create-class-features-plugin, @babel/helper-create-regexp-features-plugin, @babel/helper-remap-async-to-generator, @babel/plugin-transform-classes, @babel/plugin-transform-private-property-in-object;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-compilation-targets;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-compilation-targets;npm install @babel/helper-compilation-targets@8.0.5;@babel/core, @babel/helper-define-polyfill-provider, @babel/plugin-transform-classes, @babel/plugin-transform-function-name, @babel/plugin-transform-object-rest-spread, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-create-class-features-plugin;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-create-class-features-plugin;npm install @babel/helper-create-class-features-plugin@8.0.5;@babel/plugin-transform-class-properties, @babel/plugin-transform-class-static-block, @babel/plugin-transform-private-methods, @babel/plugin-transform-private-property-in-object;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-create-regexp-features-plugin;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-create-regexp-features-plugin;npm install @babel/helper-create-regexp-features-plugin@8.0.5;@babel/plugin-transform-dotall-regex, @babel/plugin-transform-duplicate-named-capturing-groups-regex, @babel/plugin-transform-named-capturing-groups-regex, @babel/plugin-transform-regexp-modifiers, @babel/plugin-transform-unicode-property-regex, @babel/plugin-transform-unicode-regex, @babel/plugin-transform-unicode-sets-regex;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-define-polyfill-provider;1.0.0;1.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-define-polyfill-provider;npm install @babel/helper-define-polyfill-provider@1.0.0;babel-plugin-polyfill-corejs3;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-globals;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-globals;npm install @babel/helper-globals@8.0.0;@babel/plugin-transform-classes, @babel/traverse;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-member-expression-to-functions;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-member-expression-to-functions;npm install @babel/helper-member-expression-to-functions@8.0.5;@babel/helper-create-class-features-plugin, @babel/helper-replace-supers;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-module-imports;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-module-imports;npm install @babel/helper-module-imports@8.0.0;@babel/helper-module-transforms, @babel/plugin-transform-async-to-generator, @babel/plugin-transform-runtime;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-module-transforms;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-module-transforms;npm install @babel/helper-module-transforms@8.0.5;@babel/core, @babel/plugin-transform-modules-amd, @babel/plugin-transform-modules-commonjs, @babel/plugin-transform-modules-systemjs, @babel/plugin-transform-modules-umd;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-optimise-call-expression;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-optimise-call-expression;npm install @babel/helper-optimise-call-expression@8.0.0;@babel/helper-create-class-features-plugin, @babel/helper-replace-supers;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
